,column,nulls,nulls_pct
155,sgkbxappxfxiammodel,57824,98.81910621208237
156,technicalcategory,57826,98.82252413910963
157,businesscriticalityapplicationtype,57839,98.84474066478681
158,sgkbxappxfxhostingtype,57840,98.84644962830043
159,sgkbxappxfxmfaaccess,57847,98.85841237289584
160,release,57847,98.85841237289584
161,sgkbxappxfxremotemaint,57852,98.86695719046399
162,lxcatalogid,57852,98.86695719046399
163,sgkbxappxfxapplicationfocus,57853,98.86866615397761
164,sgkbxappxfxemergencyuser,57856,98.8737930445185
165,costs,57858,98.87721097154576
166,g_sbd_lastupdate,57858,98.87721097154576
167,sgkbxappxfxcid,57866,98.8908826796548
168,sgkbxappxfxvulnerabiltymngt,57867,98.89259164316842
169,sgkbxappxfxbalancesheetimpact,57869,98.89600957019567
170,sgkbxappxfxexposure,57874,98.90455438776382
171,sgkbxappxfxanonymtestdata,57880,98.9148081688456
172,sgkbxappxfxinfoclassification,57883,98.91993505938648
173,sgkbxappxfxprotectlevel,57883,98.91993505938648
174,phaseoutstart,57885,98.92335298641373
175,sgkbxappxfxintegrity,57885,98.92335298641373
176,sgkbxappxfxlogaccess,57885,98.92335298641373
177,sgkbxappxfxcyberrisk,57890,98.93189780398188
178,sgkbxappxfxlogappl,57890,98.93189780398188
179,sgkbxappxfxswtype,57891,98.93360676749552
180,sgkbxappxfxcidrisk,57898,98.94556951209091
181,sgkbxappxfxsecurityresponsible,57905,98.95753225668632
182,sgkbxappxfxexports,57909,98.96436811074084
183,g_aws_assessmentid,57910,98.96607707425447
184,g_aws_noncomplianceinpercent,57911,98.9677860377681
185,sgkbxappxfxencrypttrans,57916,98.97633085533624
186,sgkbxappxfxgdprdeleteclass,57917,98.97803981884988
187,sgkbxappxfxpersontype,57917,98.97803981884988
188,functionalsuitabilitydescription,57920,98.98316670939076
189,sgkbxappxfxreporting,57924,98.99000256344527
190,sgkbxappxfxarchiving,57925,98.99171152695891
191,phaseoutdone,57926,98.99342049047253
192,sgkbxappxfxisecxschubxdatprc,57928,98.99683841749979
193,sgkbxappxfxisecxschubxhostingtype,57928,98.99683841749979
194,itsmresponsible,57929,98.99854738101341
195,itsmdescriptionlong,57930,99.00025634452705
196,sgkbxappxfxisecxschubxexponiertheit,57930,99.00025634452705
197,sgkbxappxfxisecxschubxgeheimhaltung,57930,99.00025634452705
198,sgkbxappxfxisecxschubxintegritaet,57930,99.00025634452705
199,sgkbxappxfxisecxschubxswtype,57930,99.00025634452705
200,sgkbxappxfxdevicetype,57931,99.00196530804067
201,sgkbxappxfxisecxschubxpersondata,57931,99.00196530804067
202,sgkbxappxfxisecxschubxprotectlevel,57931,99.00196530804067
203,sgkbxappxfxisecxschubxverfuegbarkeit,57931,99.00196530804067
204,sgkbxappxfxbcmreqlevel,57932,99.0036742715543
205,sgkbxappxfxisecxschubxpersondataxpid,57934,99.00709219858156
206,sgkbxappxfxusertype,57946,99.0275997607451
207,sgkbxappxfxescrow,57948,99.03101768777238
208,lukbxfxrespprocess,57949,99.032726651286
209,lukbxfxrespsyshead,57951,99.03614457831326
210,lukbxfxrespsysmanager,57951,99.03614457831326
211,itsmpersonaldata,57955,99.04298043236777
212,itsmname,57956,99.0446893958814
213,lukbxfxrespbusinesscontact,57956,99.0446893958814
214,lukbxfxisinternetfacing,57956,99.0446893958814
215,itsmstatus,57957,99.04639835939503
216,g_pbd_openmeasures,57959,99.04981628642228
217,itsmdescription,57971,99.07032384858583
218,lxaiusage,57973,99.07374177561309
219,lukbxfxoimapplicationmasteruid,57982,99.08912244723575
220,lukbxfxoimoldsystemmasternumber,57982,99.08912244723575
221,lukbxfxrto,57983,99.09083141074937
222,sgkbxappxfxencryptdata,57988,99.09937622831752
223,itsmurl,57990,99.10279415534478
224,lukbxfxissavingdatawithinapplication,57993,99.10792104588567
225,authenticationtype1,57995,99.11133897291293
226,sgkbxappxfxpcidssxrelevance,57997,99.11475689994018
227,sgkbxappxfxpcidssxcompliance,57999,99.11817482696745
228,lukbxfxdatadeletionmeasure,58011,99.13868238913099
229,sgkbxappxfxhostingprovider,58011,99.13868238913099
230,authenticationtype2,58017,99.14893617021276
231,sgkbxappxfxhostingprovidercontactinfo,58019,99.15235409724002
232,applicationtype1,58023,99.15918995129454
233,sgkbxappxfxswproducer,58024,99.16089891480817
234,dsk,58028,99.16773476886269
235,sgkbxappxfxlegacynamextmp,58036,99.18140647697172
236,hostingnb,58043,99.19336922156712
237,internaldev,58043,99.19336922156712
238,lifecycleeol,58043,99.19336922156712
239,migrationtocloud,58045,99.19678714859438
240,sgkbxappxfxbcmrtoactual,58046,99.198496112108
241,hersteller,58047,99.20020507562164
242,whitelist_applications,58051,99.20704092967615
243,onetrust,58053,99.21045885670341
244,supportbyitao,58053,99.21045885670341
245,g_sbd_openmeasures,58054,99.21216782021703
246,lxtimeclassificationdescription,58055,99.21387678373067
247,sgkbxappxfxhousekeeping,58060,99.22242160129882
248,genai_approved,58061,99.22413056481244
249,sgkbxappxfxbcmxretentionxdatabackup,58064,99.22925745535332
250,innenauftrag,58072,99.24292916346235
251,g_apg_assessmentid,58075,99.24805605400324
252,g_apg_noncomplianceinpercent,58076,99.24976501751688
253,sgkbxappxfxdatahistorisation,58082,99.26001879859865
254,sgkbxappxfxbcmtestcycle,58092,99.27710843373494
255,highavailability,58094,99.2805263607622
256,dravailable,58095,99.28223532427583
257,regulated,58096,99.28394428778947
258,container1,58100,99.29078014184397
259,eigenentwicklung,58105,99.29932495941212
260,sgkbxappxfxpcidssxdatapurpose,58105,99.29932495941212
261,sgkbxappxfxdatadeletion,58111,99.30957874049389
262,phaseoutcomment,58117,99.31983252157566
263,gdpr_pii,58119,99.32325044860292
264,rto,58121,99.32666837563018
265,euro2024criticality,58123,99.33008630265743
266,scuritylevel,58123,99.33008630265743
267,integritylevel,58124,99.33179526617107
268,sgkbxappxfxiamidpsystemsxtmp,58127,99.33692215671195
269,availabilitylevel,58127,99.33692215671195
270,financialimpact,58135,99.350593864821
271,operationalimpact,58136,99.35230282833462
272,regulatorylegalimpact,58136,99.35230282833462
273,reputationalimpact,58136,99.35230282833462
274,masscidexport,58141,99.36084764590277
275,pcidss,58142,99.36255660941639
276,sgkbxappxfxdatadeletionlock,58144,99.36597453644364
277,sgkbxappxfxdatadeletionxsinglerequest,58148,99.37281039049817
278,mastersourceholding,58149,99.3745193540118
279,alternativerecoverysource,58150,99.37622831752542
280,sgkbxappxfxdatadeletiontype,58154,99.38306417157993
281,environments,58155,99.38477313509357
282,logging,58155,99.38477313509357
283,userrightsmanagement,58161,99.39502691617534
284,sgkbxappxfxdatadeletioninterval,58163,99.3984448432026
285,licensescosts,58166,99.40357173374349
286,initdevcosts,58167,99.40528069725711
287,maintenancecosts,58167,99.40528069725711
288,newdevcosts,58167,99.40528069725711
289,ipownership,58169,99.40869862428437
290,phaseoutresponsible,58171,99.41211655131163
291,sgkbxappxfxdatadeletionxretentiontime,58172,99.41382551482526
292,sgkbxappxfxdatadeletionxtrigger,58176,99.42066136887976
293,awslinkinsight,58180,99.42749722293429
294,multifactorauth,58181,99.42920618644791
295,valuestream,58191,99.4462958215842
296,ssoimplementation,58195,99.45313167563873
297,usagefrequency,58200,99.46167649320688
298,g_sbd_deeplink,58209,99.47705716482953
299,g_sbd_lastupdateby,58209,99.47705716482953
300,sapeareferenceid,58212,99.48218405537041
301,sgkbxappxfxdatadeletionremark,58212,99.48218405537041
302,e360aiusageconditions,58215,99.4873109459113
303,substream,58221,99.49756472699308
304,supportgroup,58226,99.50610954456123
305,awstargetregion,58227,99.50781850807485
306,awsmigrationwave,58230,99.51294539861574
307,lxsixrclassificationdescription,58232,99.516363325643
308,itsmresponsiblegroup,58237,99.52490814321115
309,citowned,58237,99.52490814321115
310,e360aisecuritycheck,58238,99.52661710672477
311,sgkbxappxfxhousekeepingtype,58239,99.5283260702384
312,itsmhostingprovider,58240,99.53003503375203
313,sgkbxappxfxdataexchangeplatform,58245,99.53857985132018
314,lifecycle_archived,58259,99.56250534051098
315,anwendungstyp,58264,99.57105015807912
